Node1,Node2
26396,554275
50631,75574
75826,545062
81852,11116
34638,77824
331230,340918
29459,815518
30470,83975
2607,507703
61743,846458
75041,507373
859622,852541
34810,820014
35778,373560
565551,311661
59263,327150
66237,330003
356902,323437
540162,599164
77924,519139
326841,899103
25311,532348
87037,321257
316829,882486
84949,534057
557166,875791
528247,861082
833364,880021
82385,381346
541230,813325
14598,43374
355111,327019
15343,45770
502845,892890
36092,72938
563001,563004
502131,597833
32139,812305
51308,542360
551678,587188
399968,852141
78922,338100
514821,350156
501999,507728
670,96034
374119,342873
392784,853382
26444,594125
322119,837201
579104,852013
57467,10289
393805,393803
86477,547106
582823,515719
93038,569521
552075,342473
12892,589616
806518,150977
94624,29071
12439,532054
583281,511941
522682,522610
865559,823337
590429,359046
2446,36005
380349,317567
28441,348579
45003,563836
383154,373582
515266,328055
25739,383096
800299,840742
10991,554343
4686,800366
506220,593903
26366,515714
83369,558796
534038,578115
74781,589734
508674,514713
300359,307350
580808,327799
60137,66086
562143,380113
15815,890970
315249,317974
308370,326340
315333,873666
50172,39362
63060,807795
7127,56995
572188,384192
580478,512624
336534,834301
509205,558276
815052,867131
10216,505459
18548,863285
837071,837077
544835,387471
37002,586582
506662,889378
558352,552886
330414,332096
837555,848640
91605,391653
43721,853931
365436,810127
512399,809115
28568,563172
47913,830499
6549,12157
528999,356789
53550,335065
97295,97298
300313,808699
396960,396968
351096,884507
594474,325594
8217,500917
315908,341244
558471,340172
89288,302476
101109,151956
573887,861927
26047,550483
585544,343166
516239,345113
75799,843219
32133,883544
597892,376901
45084,565522
11157,301409
589455,361217
333355,368003
48962,813502
839455,896801
598531,330284
540631,304349
336625,836126
73040,519946
31309,37414
361165,326303
598828,869471
37502,570905
580819,834282
832700,878105
81348,304911
866048,866041
525391,318000
869553,869597
91463,843365
500461,334772
379563,881196
512473,562754
379832,848374
369219,835154
849579,865053
84162,837861
536273,591968
90253,560531
97008,330856
339375,816474
361940,398215
545674,545676
582996,366023
500239,567659
77119,542582
586153,571110
9638,16976
14799,507451
58064,86943
45422,594796
545948,527365
830282,830215
47473,306496
30016,46712
514580,547562
333995,852606
92630,505730
14338,23295
56043,805850
354547,814699
990,35647
394802,394837
32045,11693
6549,513779
54467,870118
597252,394874
547727,547724
377668,361940
52362,530817
99671,504016
553180,598570
512859,596721
28814,323005
511054,361024
52181,342854
18855,368294
529992,305731
560781,875836
59488,845183
82391,99778
88106,22518
381673,343430
72899,579324
528992,815824
81267,507743
306000,841800
534810,389904
332649,108240
64507,843622
66414,596911
87575,73470
524172,383543
63152,541662
367687,817296
31956,74158
29889,507384
845548,105516
78294,48459
845574,845548
560717,306459
517335,593864
501704,539737
33105,521832
584940,598827
345929,346090
384846,310161
73010,517461
571183,540011
528584,367068
504045,319709
3091,53253
583860,337973
539899,840624
340519,866514
570408,371467
76765,24311
542606,345033
50100,56896
527314,831459
514724,591530
51291,30600
36641,48865
342158,852931
357551,359701
343338,399015
548684,548615
67219,552731
537056,852952
348512,835694
69067,397697
83719,521843
339447,846711
507716,507770
74224,350356
394153,394158
12954,355749
329478,329471
30624,596148
96670,872915
99130,512686
94221,558453
521877,801606
599512,323733
500744,306323
34101,24237
515374,524949
320364,860273
22232,156198
9645,59669
570112,344666
508674,565779
32931,304627
374954,374956
367828,805669
15070,11321
551180,585341
364292,395869
548613,812641
510308,592572
3152,34603
581077,375386
553826,558497
79119,560117
531311,362933
42959,68316
51316,589166
532930,516547
515219,353037
552367,887018
96006,25273
553855,572226
389038,831401
350096,332818
40468,548754
24699,24901
30048,567476
90487,376547
861507,825635
14209,512765
387656,877514
84100,48890
578997,321391
98119,595114
558135,511891
503818,344152
29551,311371
83699,366859
512826,575563
341287,344652
593029,526187
830688,830687
18527,570964
85154,85152
310728,310721
79576,524379
510399,511755
306619,321054
43595,319861
831346,811989
9992,556239
353662,344763
23763,361196
341287,852259
52077,542383
843920,843923
99246,884693
533177,357819
573495,529077
547714,547719
364771,362557
54028,151823
895744,895746
556734,581527
535197,896463
150992,151734
878332,862585
85949,76344
32290,77434
307960,322257
562277,344911
14255,304918
62426,343077
390720,816404
831302,157910
75273,348934
521500,830690
14083,558324
535778,394161
553470,399770
85050,95419
586389,357910
518630,356254
341661,341666
