inst#,predicted
1,6
2,2
3,0
4,0
5,5
6,0
7,3
8,3
9,6
10,4
11,4
12,0
13,5
14,6
15,0
16,5
17,5
18,4
19,1
20,5
21,4
22,6
23,6
24,5
25,4
26,3
27,1
28,5
29,4
30,5
31,1
32,6
33,0
34,5
35,4
36,1
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,5
45,4
46,4
47,1
48,6
49,6
50,5
51,2
52,5
53,0
54,2
55,4
56,2
57,5
58,4
59,1
60,2
61,4
62,5
63,4
64,3
65,0
66,4
67,4
68,0
69,4
70,4
71,1
72,2
73,5
74,5
75,0
76,2
77,2
78,2
79,5
80,3
81,2
82,0
83,5
84,5
85,5
86,4
87,2
88,6
89,5
90,1
91,0
92,3
93,4
94,2
95,5
96,5
97,3
98,5
99,5
100,2
101,1
102,0
103,6
104,5
105,6
106,2
107,1
108,1
109,4
110,2
111,0
112,4
113,2
114,6
115,4
116,1
117,2
118,5
119,2
120,0
121,6
122,4
123,6
124,0
125,4
126,2
127,2
128,2
129,3
130,4
131,6
132,4
133,6
134,3
135,0
136,2
137,5
138,5
139,5
140,4
141,4
142,5
143,2
144,5
145,4
146,2
147,5
148,2
149,5
150,1
151,6
152,2
153,2
154,4
155,6
156,0
157,5
158,6
159,1
160,1
161,2
162,2
163,5
164,4
165,2
166,1
167,4
168,5
169,4
170,5
171,2
172,6
173,2
174,4
175,2
176,0
177,1
178,4
179,1
180,5
