inst#,actual,predicted,error,prediction,,
1,1:?,07:06,,0.56,,6
2,1:?,03:02,,0.65,,2
3,1:?,01:00,,0.55,,0
4,1:?,01:00,,0.91,,0
5,1:?,06:05,,1,,5
6,1:?,01:00,,0.86,,0
7,1:?,04:03,,0.86,,3
8,1:?,04:03,,0.75,,3
9,1:?,07:06,,0.65,,6
10,1:?,05:04,,0.99,,4
11,1:?,05:04,,0.96,,4
12,1:?,01:00,,0.42,,0
13,1:?,06:05,,1,,5
14,1:?,07:06,,0.79,,6
15,1:?,01:00,,0.95,,0
16,1:?,06:05,,1,,5
17,1:?,06:05,,1,,5
18,1:?,05:04,,1,,4
19,1:?,02:01,,0.72,,1
20,1:?,06:05,,1,,5
21,1:?,05:04,,0.97,,4
22,1:?,07:06,,0.67,,6
23,1:?,07:06,,0.49,,6
24,1:?,06:05,,1,,5
25,1:?,05:04,,0.57,,4
26,1:?,04:03,,0.56,,3
27,1:?,02:01,,0.49,,1
28,1:?,06:05,,1,,5
29,1:?,05:04,,0.72,,4
30,1:?,06:05,,0.99,,5
31,1:?,02:01,,0.59,,1
32,1:?,07:06,,0.76,,6
33,1:?,01:00,,0.96,,0
34,1:?,06:05,,1,,5
35,1:?,05:04,,1,,4
36,1:?,02:01,,0.56,,1
37,1:?,02:01,,0.65,,1
38,1:?,03:02,,0.79,,2
39,1:?,03:02,,0.61,,2
40,1:?,03:02,,0.99,,2
41,1:?,03:02,,0.96,,2
42,1:?,03:02,,0.99,,2
43,1:?,03:02,,0.94,,2
44,1:?,06:05,,0.99,,5
45,1:?,05:04,,1,,4
46,1:?,05:04,,0.8,,4
47,1:?,02:01,,0.51,,1
48,1:?,07:06,,0.7,,6
49,1:?,07:06,,0.45,,6
50,1:?,06:05,,1,,5
51,1:?,03:02,,0.89,,2
52,1:?,06:05,,1,,5
53,1:?,01:00,,0.54,,0
54,1:?,03:02,,1,,2
55,1:?,05:04,,0.95,,4
56,1:?,03:02,,0.87,,2
57,1:?,06:05,,1,,5
58,1:?,05:04,,1,,4
59,1:?,02:01,,0.58,,1
60,1:?,03:02,,0.98,,2
61,1:?,05:04,,1,,4
62,1:?,06:05,,1,,5
63,1:?,05:04,,0.81,,4
64,1:?,04:03,,0.75,,3
65,1:?,01:00,,0.57,,0
66,1:?,05:04,,1,,4
67,1:?,05:04,,0.98,,4
68,1:?,01:00,,0.73,,0
69,1:?,05:04,,1,,4
70,1:?,05:04,,0.31,,4
